Site;Depth;ProjArea;StraightLength;StraightWidth;WLRatio
AZL;2;0.0082;0.2737;0.0458;0.1673
AZL;2;0.0299;0.663;0.0651;0.0982
AZL;2;0.0589;0.4577;0.1638;0.3579
AZL;2;0.0649;0.6379;0.1638;0.2568
AZL;2;0.0804;0.6721;0.1448;0.2154
AZL;2;0.1137;0.9813;0.1552;0.1582
AZL;2;0.1668;0.828;0.2553;0.3083
AZL;4;0.0015;0.067;0.0248;0.3701
AZL;4;0.0113;0.2817;0.0685;0.2432
AZL;4;0.0174;0.7674;0.0324;0.0422
AZL;4;0.0229;0.4508;0.0745;0.1653
AZL;4;0.0277;0.4839;0.0873;0.1804
AZL;4;0.0305;0.7282;0.0648;0.0890
AZL;4;0.0491;0.6045;0.2182;0.3610
AZL;4;0.0508;1.0597;0.0788;0.0744
AZL;4;0.0589;0.5506;0.151;0.2742
AZL;4;0.07;0.7529;0.1278;0.1697
AZL;4;0.079;1.0497;0.0902;0.0859
AZL;4;0.0802;1.4875;0.0906;0.0609
AZL;4;0.0804;0.9873;0.1301;0.1318
AZL;4;0.0885;0.7157;0.1789;0.2500
AZL;4;0.0926;1.5068;0.1084;0.0719
AZL;4;0.094;1.2887;0.0966;0.0750
AZL;4;0.1041;0.5472;0.2514;0.4594
AZL;4;0.1109;1.5397;0.1031;0.0670
AZL;4;0.1135;1.2437;0.1138;0.0915
AZL;4;0.1279;1.0816;0.1578;0.1459
AZL;4;0.2398;1.5606;0.1838;0.1178
AZL;5;0.0263;0.5408;0.2132;0.3942
AZL;5;0.0278;0.4785;0.1025;0.2142
AZL;5;0.0286;1.0892;0.0469;0.0431
AZL;5;0.0315;0.8099;0.0543;0.0670
AZL;5;0.0347;0.6573;0.1323;0.2013
AZL;5;0.037;0.8717;0.0809;0.0928
AZL;5;0.045;1.4385;0.0687;0.0478
AZL;5;0.047;0.6338;0.1347;0.2125
AZL;5;0.0669;0.9292;0.1154;0.1242
AZL;5;0.0742;1.2029;0.0854;0.0710
AZL;5;0.0854;0.5523;0.1811;0.3279
AZL;6;0.0207;0.6629;0.0808;0.1219
AZL;6;0.0216;0.5457;0.067;0.1228
AZL;6;0.0689;0.8656;0.1107;0.1279
AZL;7;0.0091;0.5108;0.0248;0.0486
AZL;7;0.0333;1.0301;0.0483;0.0469
AZL;7;0.039;1.6235;0.0457;0.0281
AZL;7;0.0391;1.2639;0.0805;0.0637
AZL;7;0.0396;1.6892;0.0484;0.0287
AZL;7;0.0396;0.9926;0.1297;0.1307
AZL;7;0.0417;0.638;0.1271;0.1992
AZL;7;0.0446;1.1812;0.0538;0.0455
AZL;7;0.0587;0.977;0.0914;0.0936
AZL;7;0.0629;1.5305;0.0591;0.0386
AZL;7;0.0753;1.1962;0.097;0.0811
AZL;7;0.0905;1.0253;0.1086;0.1059
AZL;7;0.0905;1.5147;0.1125;0.0743
AZL;7;0.1122;1.3985;0.1048;0.0749
AZL;7;0.1407;1.9306;0.1577;0.0817
AZL;7;0.1439;2.2102;0.102;0.0461
AZL;8;0.0117;0.5845;0.0437;0.0748
AZL;8;0.0149;0.552;0.0366;0.0663
AZL;8;0.0173;0.713;0.035;0.0491
AZL;8;0.0174;0.7118;0.0424;0.0596
AZL;8;0.0228;0.9755;0.0385;0.0395
AZL;8;0.0273;1.5305;0.0365;0.0238
AZL;8;0.0288;0.6969;0.0808;0.1159
AZL;8;0.0295;1.0511;0.0591;0.0562
AZL;8;0.0586;1.1353;0.0769;0.0677
AZL;8;0.0594;1.7252;0.0497;0.0288
AZL;9;0.0123;0.5717;0.0323;0.0565
AZL;9;0.0183;0.6684;0.0469;0.0702
AZL;9;0.0247;0.7756;0.0438;0.0565
AZL;9;0.0274;0.5081;0.0651;0.1281
AZL;9;0.029;0.6486;0.0935;0.1442
AZL;9;0.0295;0.7254;0.0662;0.0913
AZL;9;0.03;0.612;0.08;0.1307
AZL;9;0.0323;0.4006;0.1069;0.2668
AZL;9;0.0412;0.8017;0.07;0.0873
AZL;9;0.0418;0.829;0.0639;0.0771
AZL;9;0.0432;0.6821;0.0939;0.1377
AZL;9;0.0437;0.9884;0.0602;0.0609
AZL;9;0.0498;0.9252;0.0808;0.0873
AZL;9;0.0503;0.5448;0.1201;0.2204
AZL;9;0.068;0.5013;0.1689;0.3369
AZL;9;0.1599;1.0877;0.2847;0.2617
AZL;9;0.6418;1.4661;0.7254;0.4948
AZL;10;0.1061;0.6278;0.3391;0.5401
AZL;10;0.1182;1.416;0.132;0.0932
AZL;10;0.1233;1.66;0.0916;0.0552
AZL;10;0.1534;0.6994;0.3747;0.5357
AZL;10;0.2033;1.4619;0.1738;0.1189
AZL;10;0.234;0.9864;0.3088;0.3131
AZL;11;0.0074;0.2471;0.0602;0.2436
AZL;11;0.0141;0.4296;0.0568;0.1322
AZL;11;0.0162;0.1654;0.14;0.8464
AZL;11;0.0217;0.6199;0.0538;0.0868
AZL;11;0.0222;0.5596;0.0705;0.1260
AZL;11;0.0239;0.9725;0.0483;0.0497
